Title,Link,Description
Manager Business Development and Partnerships,https://kenyajob.com//job-vacancies-kenya/manager-business-development-partnerships-114327,"GoodVisionGlasses KenyaOver 150 million people worldwide need glasses but cannot afford them. Children cannot learn, adults cannot work and... "
"Manager, Finance Business Partner - (22000487)",https://kenyajob.com//job-vacancies-kenya/manager-finance-business-partner-22000487-114931,"Job Description Manager, Finance Business Partner - (22000487)DESCRIPTION We are pleased to announce the following vacancy in the... "
Regional Resource Mobilization & New Business Development Intern (RRM ,https://kenyajob.com//job-vacancies-kenya/regional-resource-mobilization-new-business-development-intern-rrm-115361,The NBD Intern will part of Save the Children’s East and Southern Africa Regional Office. He/ She will provide resource mobilization... 
"Kenya PSDI Director, Business Advisory Service Providers (BASP)",https://kenyajob.com//job-vacancies-kenya/kenya-psdi-director-business-advisory-service-providers-basp-112070,"Kenya PSDI Director, Business Advisory Service Providers (BASP)Project Overview and Role:Palladium is seeking a Director, Business Advisory... "
"Kenya PSDI Director, Inclusive Business Models (ICM)",https://kenyajob.com//job-vacancies-kenya/kenya-psdi-director-inclusive-business-models-icm-112066,"Project Overview and Role:Palladium is seeking a Director, Inclusive Business Models (ICM) for an anticipated USAID-funded program in Kenya... "
Strategy Associate,https://kenyajob.com//job-vacancies-kenya/strategy-associate-113933,"OIN THE FIGHT AGAINST ENERGY POVERTY!We are an international company with Head Quarter in London UK, leading the solar revolution across... "
Portfolio and Retail Strategist,https://kenyajob.com//job-vacancies-kenya/portfolio-retail-strategist-113932,"Who we are:BBOXX is a UK-based Next Generation Utility company providing affordable, reliable and clean energy solutions to meet off-grid... "
Innovation/Projects Manager,https://kenyajob.com//job-vacancies-kenya/innovationprojects-manager-113935,"Who we are:Bboxx is a UK-based Next Generation Utility company providing affordable, reliable and clean energy solutions to meet off-grid... "
IT Support Officers,https://kenyajob.com//job-vacancies-kenya/it-support-officers-113934,"Who we are:Bboxx is a UK-based Next Generation Utility company providing affordable, reliable and clean energy solutions to meet off-grid... "
"Senior Technical Advisor, Cascade Nutrition Project",https://kenyajob.com//job-vacancies-kenya/senior-technical-advisor-cascade-nutrition-project-115032,CARE is a leading humanitarian and development organization dedicated to fighting poverty and social injustice with a special emphasis on... 
Account Technology Strategist (Cross),https://kenyajob.com//job-vacancies-kenya/account-technology-strategist-cross-114240,At Microsoft MCC (Multi Country Cluster) we are seeking an Account Technology Strategist (ATS) in FSI. The ATS is the leader... 
Account Technology Strategist (Cross),https://kenyajob.com//job-vacancies-kenya/account-technology-strategist-cross-113882,At Microsoft MCC (Multi Country Cluster) we are seeking an Account Technology Strategist (ATS) in FSI. The ATS is the leader... 
Sales Person,https://kenyajob.com//job-vacancies-kenya/sales-person-114954,"We are looking for a Sales Person to join our teamResponsiblitiesOversee day-to-day sales, monitoring, and forecasting to better understand... "
Furniture Sales Executive,https://kenyajob.com//job-vacancies-kenya/furniture-sales-executive-113466,"A furniture sales executive is, basically, responsible for selling furniture. They have to keep their sales pitch polished, because they... "
ICT ENGINEER,https://kenyajob.com//job-vacancies-kenya/ict-engineer-115166,We are looking for an ICT professional with below qualifications;
"Acquire To Retire, Specialist - (22000490)",https://kenyajob.com//job-vacancies-kenya/acquire-to-retire-specialist-22000490-114928,"Job Description Acquire to Retire, Specialist - (22000490)DESCRIPTION We are pleased to announce the following role, Acquire to... "
Senior Total Rewards Advisor - Benefits,https://kenyajob.com//job-vacancies-kenya/senior-total-rewards-advisor-benefits-115035,Job SummaryThe Senior Total Rewards Advisor reports to the Senior Director of Global People and Culture Services.   The Senior.... 
Cloud Architect,https://kenyajob.com//job-vacancies-kenya/cloud-architect-114917,"We are looking for Cloud Architect profiles / CVs to share with our clients for their future recruitment campaigns.
 
Mission:... "
Marketing Specialist/Personal Assistant,https://kenyajob.com//job-vacancies-kenya/marketing-specialistpersonal-assistant-115268,Reporting to: General ManagerJob Responsibilities:Development and Implementation of a strategic marketing approach which includes campaign... 
Senior Backend Developer (Java),https://kenyajob.com//job-vacancies-kenya/senior-backend-developer-java-114849,Technology StacksJava with experience in Spring FrameworkNode JSRedisAzure service busKafkaRoles and ResponsibilitiesSystem configuration... 
Cloud Microservices Architect,https://kenyajob.com//job-vacancies-kenya/cloud-microservices-architect-114920,We are looking for Cloud Microservices Architect profiles / CVs to share with our clients for their future recruitment campaigns.... 
Principal Engineer Cyber Prevent and Defense - (22000489),https://kenyajob.com//job-vacancies-kenya/principal-engineer-cyber-prevent-defense-22000489-114929,Job Description Principal Engineer Cyber Prevent and Defense - (22000489)DESCRIPTION We are please to announce the following... 
"Global Director, HSE",https://kenyajob.com//job-vacancies-kenya/global-director-hse-114681,"About KOKO NetworksKOKO Networks is a venture-backed climate-tech company with 1,200+ employees across East Africa & India. Our mission... "
Data Analyst,https://kenyajob.com//job-vacancies-kenya/data-analyst-113551,"Awards Management Unit (AMU)Established in January 2016, Awards Management Unit (AMU) is a global unit responsible for identifying,... "
"Manager, Regulatory and Public Policy",https://kenyajob.com//job-vacancies-kenya/manager-regulatory-public-policy-114695,"About KOKO NetworksKOKO Networks is a venture-backed climate-tech company with 1,200+ employees across East Africa & India. Our mission... "
